Value,Time (hour),algorithm
34.6203,500,REINFORCE
33.67,500,REINFORCE
33.2604,500,REINFORCE
34.3421,500,REINFORCE
34.4372,500,REINFORCE
34.4174,500,REINFORCE
33.6783,500,REINFORCE
34.715,500,REINFORCE
34.0946,500,REINFORCE
34.0265,500,REINFORCE
34.0127,500,REINFORCE
34.1736,500,REINFORCE
,,
36.19,200,MawF
45.94,300,MawF
56.07,400,MawF
64.03,500,MawF
34.68,200,GlwtF
44.85,300,GlwtF
53.81,400,GlwtF
62.64,500,GlwtF
34.41,200,GhpF
42.78,300,GhpF
55.65,400,GhpF
61.15,500,GhpF
