Algorithm,Metric,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
TRPO,ds3,35.5628,35.7357,35.7365,39.1648,36.2912,36.7875,39.2316,33.0317,37.9606,32.9804,37.3226,37.5845,35.5482,34.6683,35.8692,35.7639,36.2691,32.9719,33.9851,38.0485
REINFORCE,ds3,26.0042,23.5447,23.8228,23.4278,26.2022,23.4251,28.681,23.9448,23.0532,23.0958,24.6903,24.5349,25.2798,25.5461,25.762,25.2151,23.7468,24.7196,25.4964,28.7825
GrTPO,dyn1,64.3834,61.1271,64.7001,63.2766,64.2727,66.8908,64.8077,65.3434,65.1429,69.252,63.2927,67.1058,66.5081,63.1926,64.5131,66.5307,63.483,66.3511,63.7481,64.9397
SAC,dyn1,58.0182,57.9965,62.5376,62.1482,57.1106,60.1639,59.7948,59.0338,64.2399,63.1912,55.415,61.3202,59.6979,60.409,64.4928,59.8088,60.3928,61.2327,60.6865,63.4824
PPO,dyn1,43.7076,55.0146,52.6319,46.1637,46.5018,43.2087,46.0284,46.4213,50.5364,41.9021,44.1575,48.2574,45.1179,48.5458,48.3743,43.3929,45.3452,42.4166,48.0574,38.7622
DRQN,dyn1,37.9911,36.7758,39.9239,36.8113,41.9606,40.538,38.8306,38.7249,37.7187,36.497,37.3575,38.6719,39.5849,38.4978,40.7911,40.3296,36.898,41.471,39.6916,39.5382
DuelingDQN,dyn1,44.1993,46.0631,44.5862,42.6733,42.9345,44.3222,43.4421,45.0515,44.5821,46.2885,46.5748,44.9793,43.6369,46.3131,43.1981,43.9053,43.9669,44.882,42.1301,46.6435
TRPO,dyn1,50.9834,45.134,56.7339,45.4442,43.8593,48.7779,44.0651,51.6996,50.8854,49.7469,48.962,53.3109,39.2725,46.924,45.374,45.0832,46.2512,53.198,49.2931,49.2125
REINFORCE,dyn1,32.7681,31.8479,30.8007,32.707,32.389,32.2845,32.7483,32.1742,33.2549,34.4388,33.3124,29.5636,30.2966,33.6297,31.1597,33.6592,30.6986,32.1343,33.4653,33.2355
GrTPO,dyn2,64.2796,63.6952,64.1962,60.9656,62.8011,63.2925,63.6835,62.7916,66.4294,63.9248,64.2572,62.2627,62.337,64.7727,64.3171,64.9157,61.1775,62.0017,62.8347,64.1679
SAC,dyn2,56.6927,59.0679,59.0544,56.6284,56.6244,57.7384,57.6186,62.9945,62.2144,59.1823,59.0119,62.0344,60.1951,57.9843,60.016,61.0081,59.4281,61.9101,56.7585,60.5826
